Année;UAI;Libellé;Région;Niveau formation;Taux poursuite études;Taux emploi 6 mois;Taux interruption formation;Part contrats apprentissage interrompus;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois;num_ligne
cumul 2018-2019;9740983A;Centre de formation d'apprentis Chambre de commerce et d'industrie de Sainte Clotilde;LA REUNION;BTS;21.0;38.0;53.0;29.0;44.0;54.0;55.0;1907.0
cumul 2018-2019;9740988F;Centre de Formation d'apprentis Urma de Saint Pierre  Campus Pro;LA REUNION;Autres formations de niveau 4;;;;;;;;1910.0
cumul 2018-2019;9741090S;CFA FORMA TERRA;LA REUNION;CAP;54.0;23.0;;39.0;23.0;23.0;32.0;1912.0
cumul 2018-2019;0352492U;CFA agricole privé MFR Bretagne;BRETAGNE;BP;;;;43.0;;;;1916.0
cumul 2018-2019;0381861S;CFA Institut des Métiers et des Techniques;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;;;;23.0;;;;1924.0
cumul 2018-2019;0382910G;AFTRAL CFA Transport Logistique;AUVERGNE-RHONE-ALPES;BAC;26.0;72.0;34.0;31.0;73.0;75.0;77.0;1927.0
cumul 2018-2019;0383173T;CFA UNICEM;AUVERGNE-RHONE-ALPES;BP;18.0;89.0;65.0;14.0;93.0;87.0;90.0;1930.0
cumul 2018-2019;0400100S;Centre de formation d'apprentis des métiers de l'artisanat des Landes;NOUVELLE-AQUITAINE;BTS;;;;27.0;;;;1936.0
cumul 2018-2019;0400100S;Centre de formation d'apprentis des métiers de l'artisanat des Landes;NOUVELLE-AQUITAINE;BP;9.0;63.0;;35.0;71.0;76.0;80.0;1937.0
cumul 2018-2019;0421567A;Organisme de formation-Centre de formation d'apprentis Institut des Métiers de Saint-Etienne;AUVERGNE-RHONE-ALPES;BAC;25.0;;23.0;29.0;;;;1943.0
cumul 2018-2019;0440096R;Centre de Formation d'Apprentis Fab'Academy du Pôle formation - UIMM Centre de Nantes;PAYS DE LA LOIRE;BTS;22.0;83.0;26.0;17.0;85.0;85.0;85.0;1949.0
cumul 2018-2019;0440342H;GRAFIPOLIS (AFIIG);PAYS DE LA LOIRE;BAC;37.0;44.0;;24.0;53.0;53.0;64.0;1950.0
cumul 2018-2019;0440395R;Centre de formation d'apprentis agricole de loire-atlantique;PAYS DE LA LOIRE;BTS;31.0;73.0;26.0;24.0;70.0;66.0;71.0;1952.0
cumul 2018-2019;0442096P;Centre de Formation d'Apprentis Annexe du LPO la Joliverie;PAYS DE LA LOIRE;MC4;8.0;78.0;4.0;13.0;74.0;91.0;87.0;1955.0
cumul 2018-2019;0442096P;Centre de Formation d'Apprentis Annexe du LPO la Joliverie;PAYS DE LA LOIRE;BTS;12.0;85.0;8.0;11.0;86.0;89.0;90.0;1956.0
cumul 2018-2019;0442275J;Centre de formation d'apprentis IA;PAYS DE LA LOIRE;CAP;37.0;54.0;38.0;54.0;61.0;65.0;57.0;1957.0
cumul 2018-2019;0451418X;Centre de Formation d'Apprentis Spécialisé Centre;CENTRE-VAL DE LOIRE;MC5;;;;;;;;1967.0
cumul 2018-2019;0460706T;IFA 46 CENTRE CONSULAIRE DE FORMATION INSTITUT DES FORCES DE VENTE DU LOT;OCCITANIE;BTS;;;;31.0;;;;1978.0
cumul 2018-2019;0470941T;Centre de formation d'apprentis du bâtiment et des travaux publics du Lot-et-Garonne;NOUVELLE-AQUITAINE;BP;24.0;;36.0;23.0;;;;1981.0
cumul 2018-2019;0480677A;centre formation apprentis agricole;OCCITANIE;CAP;;;;;;;;1984.0
cumul 2018-2019;0492175Y;centre formation apprentis agricole ecole superieure agriculture;PAYS DE LA LOIRE;CAP;56.0;50.0;26.0;45.0;52.0;64.0;64.0;1994.0
cumul 2018-2019;0492303M;CFA EC 49 Saint Aubin la Salle;PAYS DE LA LOIRE;BAC;;;;;;;;1998.0
cumul 2018-2019;0751503B;Centre de Formation d'apprentis - Métiers de la viande;ILE-DE-FRANCE;BP;30.0;82.0;;35.0;85.0;84.0;81.0;2514.0
cumul 2018-2019;0752068R;Centre de Formation d'apprentis - Commerce de l'alimentation;ILE-DE-FRANCE;CAP;34.0;35.0;46.0;50.0;43.0;57.0;61.0;2516.0
cumul 2018-2019;0752206R;Centre de Formation d'apprentis - Stephenson;ILE-DE-FRANCE;Autres formations de niveau 4;4.0;54.0;;8.0;46.0;54.0;38.0;2518.0
cumul 2018-2019;0753007L;Centre de Formation d'apprentis - Alimentation-Hôtellerie;ILE-DE-FRANCE;BTS;34.0;;73.0;53.0;;;;2522.0
cumul 2018-2019;0762760M;Centre de formation d'apprentis agricole horticole;NORMANDIE;BTS;22.0;68.0;46.0;27.0;79.0;73.0;77.0;2547.0
cumul 2018-2019;0763434V;Centre de formation d'apprentis du Rouen Hockey Elite;NORMANDIE;Autres formations de niveau 4;10.0;37.0;;7.0;44.0;67.0;67.0;2550.0
cumul 2018-2019;0021739E;CFA BTP CFA 02;HAUTS-DE-FRANCE;BP;17.0;92.0;28.0;26.0;87.0;87.0;82.0;2553.0
cumul 2018-2019;0030124U;Centre de formation d'apprentis - Institut de formation interprofessionnel de l'Allier;AUVERGNE-RHONE-ALPES;BTS;22.0;;65.0;29.0;;;;2554.0
cumul 2018-2019;0030124U;Centre de formation d'apprentis - Institut de formation interprofessionnel de l'Allier;AUVERGNE-RHONE-ALPES;BP;19.0;78.0;34.0;29.0;86.0;78.0;75.0;2557.0
cumul 2018-2019;0061603K;cfa regional agricole antibes;PROVENCE-ALPES-COTE D'AZUR;BTS;21.0;63.0;60.0;41.0;69.0;65.0;70.0;2562.0
cumul 2018-2019;0061603K;cfa regional agricole antibes;PROVENCE-ALPES-COTE D'AZUR;CAP;32.0;38.0;;53.0;47.0;44.0;54.0;2563.0
cumul 2018-2019;0080972N;Centre de Formation d'Apprentis Agricole des Ardennes;GRAND EST;BAC;13.0;38.0;33.0;52.0;49.0;49.0;59.0;2571.0
cumul 2018-2019;0090553C;Centre de Formation d'Apprentis de la Chambre de Métiers de l'Ariège;OCCITANIE;BP;16.0;81.0;45.0;49.0;76.0;76.0;81.0;2576.0
cumul 2018-2019;0132470P;CFA INTERPROFESSIONNEL COROT;PROVENCE-ALPES-COTE D'AZUR;BTS;;;;43.0;;;;2600.0
cumul 2018-2019;0133339J;CFA DE LA CITE TECHNIQUE;PROVENCE-ALPES-COTE D'AZUR;Autres formations de niveau 3;;;;;;;;2602.0
cumul 2018-2019;0133339J;CFA DE LA CITE TECHNIQUE;PROVENCE-ALPES-COTE D'AZUR;CAP;27.0;39.0;59.0;41.0;63.0;67.0;67.0;2603.0
cumul 2018-2019;0141300M;Centre de formations des apprentis CIFAC Caen;NORMANDIE;Autres formations de niveau 4;6.0;81.0;;40.0;91.0;88.0;91.0;2612.0
cumul 2018-2019;0142220M;centre de formation d'aprentis transport logistique -Aftral Normandie;NORMANDIE;BAC;35.0;51.0;;20.0;69.0;60.0;66.0;2616.0
cumul 2018-2019;0142270S;centre formation apprentis agricole m f r de basse-normandie;NORMANDIE;Autres formations de niveau 5;5.0;;;;;;;2617.0
cumul 2018-2019;0142368Y;CFA public de l'enseignement supérieur de Caen Normandie;NORMANDIE;Autres formations de niveau 3;65.0;79.0;;5.0;79.0;89.0;93.0;2618.0
cumul 2018-2019;0160757L;CFA de la Chambre de commerce et d'industrie de la Charente;NOUVELLE-AQUITAINE;CAP;40.0;57.0;35.0;50.0;61.0;63.0;67.0;2628.0
cumul 2018-2019;0160757L;CFA de la Chambre de commerce et d'industrie de la Charente;NOUVELLE-AQUITAINE;BP;21.0;70.0;24.0;42.0;81.0;68.0;73.0;2629.0
cumul 2018-2019;0171208W;Centre de formation d'apprentis Commerce de Saintes;NOUVELLE-AQUITAINE;Autres formations de niveau 3;;;;7.0;;;;2631.0
cumul 2018-2019;0180847Y;CFAAD 18;CENTRE-VAL DE LOIRE;CAP;40.0;40.0;20.0;62.0;68.0;60.0;64.0;2636.0
cumul 2018-2019;0180847Y;CFAAD 18;CENTRE-VAL DE LOIRE;BAC;25.0;72.0;;29.0;75.0;70.0;68.0;2637.0
cumul 2018-2019;0190810C;centre formation apprentis agricole cfa de tulle-naves;NOUVELLE-AQUITAINE;CAP;;;;;;;;2640.0
cumul 2018-2019;0211479U;ECOLE DES METIERS DIJON METROPOLE;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 5;;;;;;;;2645.0
cumul 2018-2019;0221588G;CFA Bâtiment 22;BRETAGNE;BP;28.0;79.0;40.0;30.0;80.0;81.0;82.0;2656.0
cumul 2018-2019;0240051A;Centre de formation d'apprentis du bâtiment et des travaux publics de la Dordogne;NOUVELLE-AQUITAINE;Autres formations de niveau 5;;;;;;;;2659.0
cumul 2018-2019;0251780Z;CFA Académique de Franche-Comté;BOURGOGNE-FRANCHE-COMTE;MC5;0.0;64.0;9.0;16.0;73.0;59.0;59.0;2669.0
cumul 2018-2019;0271691S;Centre de formation d'apprentis Ecole supérieure de la CCI Portes de Normandie;NORMANDIE;Autres formations de niveau 3;;;;28.0;;;;2680.0
cumul 2018-2019;0271691S;Centre de formation d'apprentis Ecole supérieure de la CCI Portes de Normandie;NORMANDIE;BTS;25.0;69.0;30.0;33.0;74.0;71.0;73.0;2681.0
cumul 2018-2019;0280738A;Centre de Formation d'Apprentis Interprofessionnel 28;CENTRE-VAL DE LOIRE;BAC;26.0;72.0;21.0;31.0;64.0;68.0;76.0;2682.0
cumul 2018-2019;0301435X;centre formation apprentis agricole ann legta marie durand;OCCITANIE;Autres formations de niveau 5;;;;;;;;2691.0
cumul 2018-2019;0311729L;Centre de formation d'apprentis  Ecole supérieure des métiers Chambre des métiers de la Haute-Garonne;OCCITANIE;Autres formations de niveau 5;28.0;;;56.0;;;;2701.0
cumul 2018-2019;0320542R;Centre de formation d'apprentis Chambre des métiers du Gers;OCCITANIE;BTS;34.0;89.0;49.0;23.0;87.0;84.0;85.0;2713.0
cumul 2018-2019;0331707B;Centre de formation d'apprentis - Institut des Métiers de l'Artisanat;NOUVELLE-AQUITAINE;Autres formations de niveau 4;0.0;59.0;;38.0;68.0;71.0;78.0;2714.0
cumul 2018-2019;0331715K;Centre de formation d'apprentis du lycée Gustave Eiffel;NOUVELLE-AQUITAINE;BAC;23.0;62.0;56.0;34.0;58.0;66.0;73.0;2717.0
cumul 2018-2019;0331715K;Centre de formation d'apprentis du lycée Gustave Eiffel;NOUVELLE-AQUITAINE;CAP;47.0;43.0;26.0;15.0;46.0;77.0;63.0;2718.0
cumul 2018-2019;0332279Y;Centre de formation d'apprentis  Le Vigean;NOUVELLE-AQUITAINE;MC4;;;;;;;;2721.0
cumul 2018-2019;0332551U;Centre de formation d'apprentis du transport et de la logistique Aquitaine (AFTRAL);NOUVELLE-AQUITAINE;BAC;28.0;68.0;46.0;35.0;68.0;71.0;79.0;2723.0
cumul 2018-2019;0333199Y;Centre de formation d'apprentis ASPECT Aquitaine;NOUVELLE-AQUITAINE;BTS;16.0;79.0;33.0;12.0;70.0;71.0;77.0;2734.0
cumul 2018-2019;0333199Y;Centre de formation d'apprentis ASPECT Aquitaine;NOUVELLE-AQUITAINE;MC5;10.0;40.0;17.0;17.0;53.0;53.0;53.0;2735.0
cumul 2018-2019;0333288V;Centre de formation d'apprentis A.F.P.A Aquitaine;NOUVELLE-AQUITAINE;Autres formations de niveau 5;;;;;;;;2738.0
cumul 2018-2019;0341985Y;Centre de formation d'apprentis Transport et Logistique, AFTRAL;OCCITANIE;CAP;9.0;69.0;41.0;28.0;75.0;69.0;72.0;2745.0
cumul 2018-2019;0342009Z;Centre de formation d'apprentis Institut Formation Régional Industries Alimentaires  Languedoc-Roussillon;OCCITANIE;BTS;13.0;67.0;32.0;21.0;56.0;70.0;63.0;2746.0
cumul 2018-2019;0342217A;Centre de formation d'apprentis des Professions Sanitaires, Sociales et Médico-sociales;OCCITANIE;Autres formations de niveau 3;4.0;45.0;;16.0;55.0;63.0;61.0;2747.0
cumul 2018-2019;0342306X;Centre de formation d'apprentis Sud Tourisme;OCCITANIE;BTS;30.0;34.0;9.0;18.0;53.0;44.0;62.0;2749.0
cumul 2018-2019;0350998V;CFA CMA Bretagne - Faculté des Métiers Bruz;BRETAGNE;CAP;56.0;61.0;28.0;35.0;65.0;66.0;70.0;2754.0
cumul 2018-2019;0360548A;CFA Chambre des métiers et de l'Artisanat du 36;CENTRE-VAL DE LOIRE;BAC;;;;45.0;;;;2765.0
cumul 2018-2019;0371436K;Tours Fondettes Agrocampus;CENTRE-VAL DE LOIRE;BAC;31.0;50.0;32.0;35.0;55.0;55.0;60.0;2772.0
cumul 2018-2019;0371515W;CFA Propreté INHNI Centre;CENTRE-VAL DE LOIRE;CAP;31.0;41.0;31.0;37.0;41.0;50.0;45.0;2773.0
cumul 2018-2019;0390799G;CFA du Jura;BOURGOGNE-FRANCHE-COMTE;BP;20.0;77.0;37.0;26.0;73.0;76.0;79.0;2782.0
cumul 2018-2019;0391038S;centre formation apprentis agricole du jura;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 4;25.0;;;;;;;2784.0
cumul 2018-2019;0400751Z;Centre de formation d'apprentis du bâtiment et des travaux publics des Landes;NOUVELLE-AQUITAINE;BAC;;;;;;;;2790.0
cumul 2018-2019;0401042R;Centre de formation d'apprentis du bois et de l'habitat - Lycée Haroun Tazieff;NOUVELLE-AQUITAINE;BP;9.0;81.0;49.0;31.0;81.0;78.0;78.0;2795.0
cumul 2018-2019;0421567A;Organisme de formation-Centre de formation d'apprentis Institut des Métiers de Saint-Etienne;AUVERGNE-RHONE-ALPES;MC5;46.0;53.0;22.0;19.0;71.0;85.0;82.0;2801.0
cumul 2018-2019;0441969B;Fédération départementale des Maison Familiale et Rurales (MFR);PAYS DE LA LOIRE;CAP;60.0;54.0;;20.0;48.0;58.0;58.0;2816.0
cumul 2018-2019;0442274H;Site de formation d'apprentis de l'Ecole supérieure de la banque - Nantes;PAYS DE LA LOIRE;BTS;57.0;;;22.0;;;;2817.0
cumul 2018-2019;0442416M;Centre de Formation d'Apprentis Bâtiment et TP de Loire-Atlantique;PAYS DE LA LOIRE;Autres formations de niveau 4;10.0;;;11.0;;;;2821.0
cumul 2018-2019;0442416M;Centre de Formation d'Apprentis Bâtiment et TP de Loire-Atlantique;PAYS DE LA LOIRE;MC4;9.0;88.0;27.0;23.0;83.0;83.0;85.0;2823.0
cumul 2018-2019;0442416M;Centre de Formation d'Apprentis Bâtiment et TP de Loire-Atlantique;PAYS DE LA LOIRE;BAC;;;;33.0;;;;2824.0
cumul 2018-2019;0450807H;CFA Orléans Métropole;CENTRE-VAL DE LOIRE;Autres formations de niveau 4;;;;;;;;2828.0
cumul 2018-2019;0451583B;Centre de Formation d'Apprentis FORMASAT;CENTRE-VAL DE LOIRE;Autres formations de niveau 4;22.0;;;;;;;2832.0
cumul 2018-2019;0451653C;Centre de Formation d'Apprentis de l'Industrie Centre-Val de Loire;CENTRE-VAL DE LOIRE;CAP;50.0;;22.0;24.0;;;;2834.0
cumul 2018-2019;0460495N;Centre de formation d'apprentis Ecole des metiers du Lot;OCCITANIE;BP;16.0;77.0;31.0;40.0;79.0;73.0;77.0;2839.0
cumul 2018-2019;0460654L;Centre de formation des apprentis agricole du Lot  EPLA de Figeac;OCCITANIE;BP;;;;54.0;;;;2840.0
cumul 2018-2019;0470815F;centre formation apprentis agricole departemental;NOUVELLE-AQUITAINE;BAC;47.0;43.0;30.0;41.0;55.0;52.0;55.0;2841.0
cumul 2018-2019;0490986F;Centre de formation d'apprentis URMA-MAINE-ET-LOIRE;PAYS DE LA LOIRE;MC5;52.0;75.0;11.0;16.0;75.0;83.0;81.0;2846.0
cumul 2018-2019;0501614H;CFA FIM Campus1;NORMANDIE;Autres formations de niveau 4;6.0;76.0;;15.0;83.0;93.0;83.0;2851.0
cumul 2018-2019;0520752K;ALMEA formation Haute-Marne;GRAND EST;MC5;82.0;;9.0;27.0;;;;2863.0
cumul 2018-2019;0520758S;CFA BTP GRAND EST  LORRAINE DE LA HAUTE MARNE;GRAND EST;BAC;;;;;;;;2864.0
cumul 2018-2019;0542397M;CFA de l'Université de Lorraine;GRAND EST;BTS;;;;0.0;;;;2880.0
cumul 2018-2019;0542506F;CFA AGEFA PME Lorraine;GRAND EST;Autres formations de niveau 4;;;;;;;;2884.0
cumul 2018-2019;0561397P;CFA Bâtiment 56;BRETAGNE;BP;18.0;80.0;31.0;22.0;84.0;84.0;83.0;2897.0
cumul 2018-2019;0561764N;CFA agricole privé, Métiers de la Production Agricole;BRETAGNE;BP;9.0;75.0;;42.0;76.0;75.0;82.0;2902.0
cumul 2018-2019;0570033B;CFA du LPO Blaise pascal de Forbach;GRAND EST;BP;48.0;45.0;;26.0;59.0;50.0;55.0;2905.0
cumul 2018-2019;0573282H;CFA du lycée des métiers de l'hotellerie Raymond Mondon;GRAND EST;BTS;14.0;72.0;58.0;41.0;67.0;69.0;72.0;2917.0
cumul 2018-2019;0580739N;CFA AGRICOLE;BOURGOGNE-FRANCHE-COMTE;BAC;33.0;58.0;38.0;31.0;71.0;65.0;65.0;2920.0
cumul 2018-2019;0593321P;CFA de la Chambre des Métiers et de l'Artisanat Hauts-de-France;HAUTS-DE-FRANCE;BAC;18.0;69.0;52.0;38.0;72.0;76.0;77.0;2921.0
cumul 2018-2019;0596268T;CFA de l'IFRIA (Institut de Formation Régional des Industries Agroalimentaires);HAUTS-DE-FRANCE;Autres formations de niveau 5;9.0;52.0;;60.0;65.0;68.0;65.0;2930.0
cumul 2018-2019;0596997K;CFA Régional Hauts de France;HAUTS-DE-FRANCE;BP;18.0;78.0;62.0;30.0;78.0;81.0;81.0;2941.0
cumul 2018-2019;0601500E;CFA PROMEO CFAI Picardie à Senlis;HAUTS-DE-FRANCE;BTS;27.0;77.0;25.0;18.0;76.0;80.0;80.0;2950.0
cumul 2018-2019;0611294A;CFA interrégional du Cheval et de l'équitation;NORMANDIE;Autres formations de niveau 3;;;;50.0;;;;2954.0
cumul 2018-2019;0611294A;CFA interrégional du Cheval et de l'équitation;NORMANDIE;Autres formations de niveau 5;;;;;;;;2955.0
cumul 2018-2019;0631243J;BTP CFA Puy-de-Dôme;AUVERGNE-RHONE-ALPES;BP;21.0;71.0;38.0;27.0;74.0;74.0;78.0;2956.0
cumul 2018-2019;0631450J;Centre de Formation d'Apprentis institut des métiers;AUVERGNE-RHONE-ALPES;MC5;24.0;65.0;25.0;23.0;74.0;68.0;75.0;2958.0
cumul 2018-2019;0631764A;Centre de formation des apprentis des Métiers de l'Agriculture du Puy de Dôme;AUVERGNE-RHONE-ALPES;CAP;50.0;56.0;;39.0;63.0;67.0;69.0;2959.0
cumul 2018-2019;0631959M;CFA Régional du Transport et de la Logistique en Auvergne;AUVERGNE-RHONE-ALPES;CAP;0.0;87.0;15.0;14.0;85.0;82.0;79.0;2962.0
cumul 2018-2019;0640238L;Centre de formation d'apprentis du lycée Saint Cricq;NOUVELLE-AQUITAINE;BTS;9.0;69.0;28.0;17.0;69.0;79.0;76.0;2968.0
cumul 2018-2019;0641752G;ctre dpt formation apprent agr lyc agr montardon;NOUVELLE-AQUITAINE;BAC;;;;;;;;2973.0
cumul 2018-2019;0641752G;ctre dpt formation apprent agr lyc agr montardon;NOUVELLE-AQUITAINE;BP;20.0;51.0;;33.0;62.0;51.0;62.0;2974.0
cumul 2018-2019;0641752G;ctre dpt formation apprent agr lyc agr montardon;NOUVELLE-AQUITAINE;CAP;56.0;21.0;20.0;31.0;30.0;27.0;38.0;2975.0
cumul 2018-2019;0651054T;CFA Vecteur Pyrénées - Institut pyrénéen des métiers de service à l'environnement;OCCITANIE;CAP;;;;8.0;;;;2979.0
cumul 2018-2019;0772547A;CFA des Compagnons du Tour de France IDF;ILE-DE-FRANCE;CAP;56.0;57.0;33.0;25.0;61.0;63.0;65.0;2991.0
cumul 2018-2019;0772742M;CFA UTEC;ILE-DE-FRANCE;MC4;;;;;;;;2995.0
cumul 2018-2019;0782093B;Centre de formation d'apprentis Trajectoire;ILE-DE-FRANCE;CAP;61.0;65.0;43.0;33.0;58.0;61.0;61.0;3006.0
cumul 2018-2019;0783593G;Centre de formation d'apprentis Versailles Académie Avenir Apprentissage;ILE-DE-FRANCE;MC5;22.0;62.0;37.0;11.0;71.0;71.0;71.0;3008.0
cumul 2018-2019;0783593G;Centre de formation d'apprentis Versailles Académie Avenir Apprentissage;ILE-DE-FRANCE;CAP;36.0;58.0;33.0;23.0;61.0;63.0;64.0;3010.0
cumul 2018-2019;0783654Y;CFA AFOMAV (Centre de formation d'apprentis Association de formation aux métiers de l'Audiovisuel);ILE-DE-FRANCE;CAP;;;;;;;;3014.0
cumul 2018-2019;0801302F;CFA BTP somme;HAUTS-DE-FRANCE;BP;20.0;73.0;44.0;24.0;80.0;85.0;83.0;3021.0
cumul 2018-2019;0801302F;CFA BTP somme;HAUTS-DE-FRANCE;Autres formations de niveau 4;;;;;;;;3022.0
cumul 2018-2019;0811238F;Centre de Formation des familiales rurales;OCCITANIE;Autres formations de niveau 5;;;;;;;;3032.0
cumul 2018-2019;0820746R;Centre de Formation d'Apprentis Départemental Ecole des métiers;OCCITANIE;BP;10.0;68.0;46.0;34.0;76.0;74.0;78.0;3036.0
cumul 2018-2019;0820746R;Centre de Formation d'Apprentis Départemental Ecole des métiers;OCCITANIE;CAP;37.0;53.0;42.0;42.0;53.0;53.0;58.0;3037.0
cumul 2018-2019;0831374T;Ctre de formation d'apprentis chambre des métiers Le Beausset;PROVENCE-ALPES-COTE D'AZUR;CAP;41.0;47.0;49.0;59.0;61.0;51.0;60.0;3040.0
cumul 2018-2019;0831375U;Ctre de formation d'apprentis Chambre des métiers St Maximin;PROVENCE-ALPES-COTE D'AZUR;BP;16.0;69.0;58.0;48.0;72.0;67.0;78.0;3042.0
cumul 2018-2019;0860841X;CFA Campus des Métiers et de l'Artisanat CMA 86;NOUVELLE-AQUITAINE;Autres formations de niveau 4;32.0;66.0;;30.0;73.0;71.0;77.0;3055.0
cumul 2018-2019;0861423E;centre de formation d'apprentis regional des MFR;NOUVELLE-AQUITAINE;Autres formations de niveau 4;;;;28.0;;;;3061.0
cumul 2018-2019;0881760K;CFA AFPIA EST-NORD;GRAND EST;BP;;;;;;;;3074.0
cumul 2018-2019;0891132X;cfa agricole;BOURGOGNE-FRANCHE-COMTE;BP;;;;35.0;;;;3078.0
cumul 2018-2019;0912021C;Centre de formation d'apprentis Union;ILE-DE-FRANCE;BTS;49.0;84.0;35.0;15.0;78.0;86.0;86.0;3081.0
cumul 2018-2019;0921379Z;Centre de formation d'apprentis des métiers du bâtiment BTP CFA;ILE-DE-FRANCE;BP;34.0;68.0;39.0;23.0;74.0;77.0;74.0;3085.0
cumul 2018-2019;0922292S;Centre de formation d'apprentis de l'Industrie chimique et pharmaceutique;ILE-DE-FRANCE;Autres formations de niveau 3;74.0;;;9.0;;;;3087.0
cumul 2018-2019;0932492D;CFA Du Cycle et du Motocycle - INCM;ILE-DE-FRANCE;CAP;35.0;53.0;27.0;35.0;68.0;71.0;65.0;3096.0
cumul 2018-2019;9720490A;Chambre des Métiers;MARTINIQUE;BAC;15.0;36.0;87.0;2.0;39.0;40.0;45.0;3112.0
cumul 2018-2019;9720490A;Chambre des Métiers;MARTINIQUE;BTS;16.0;55.0;;0.0;52.0;50.0;50.0;3113.0
cumul 2018-2019;9741084K;Centhor Saint Gilles les hauts;LA REUNION;BP;12.0;63.0;39.0;47.0;63.0;72.0;74.0;3121.0
cumul 2018-2019;0672564Y;Centre de Formation d'apprentis du Lycée Oberlin;GRAND EST;CAP;35.0;43.0;32.0;37.0;49.0;60.0;57.0;3127.0
cumul 2018-2019;0672632X;Centre de formation d'apprentis régional des compagnons du Devoir-Alsace;GRAND EST;CAP;33.0;77.0;25.0;28.0;78.0;78.0;78.0;3128.0
cumul 2018-2019;0672902R;CFA du secteur sanitaire, social et médico-social;GRAND EST;Autres formations de niveau 4;3.0;57.0;;4.0;61.0;71.0;71.0;3131.0
cumul 2018-2019;0681750H;Centre de Formation d'apprentis agricole;GRAND EST;BAC;29.0;61.0;24.0;24.0;65.0;67.0;65.0;3142.0
cumul 2018-2019;0692360R;ASSOCIATION REGIONALE POUR LA FORMATION ALTERNEE;AUVERGNE-RHONE-ALPES;BP;9.0;79.0;36.0;41.0;79.0;72.0;83.0;3149.0
cumul 2018-2019;0692436Y;FEDERATION REGIONALE DES MAISONS FAMILIALES RURALES D'EDUCATION ET D'ORIENTATION DE RHONE-ALPES (FRMFREO);AUVERGNE-RHONE-ALPES;MC5;31.0;71.0;14.0;22.0;71.0;82.0;85.0;3150.0
cumul 2018-2019;0693492W;ctre formation apprentis agricole regional et horticole;AUVERGNE-RHONE-ALPES;BTS;23.0;71.0;41.0;29.0;75.0;73.0;75.0;3156.0
cumul 2018-2019;0693764S;CONSEIL REGIONAL DE L'ENSEIGNEMENT AGRICOLE PRIVE;AUVERGNE-RHONE-ALPES;CAP;32.0;44.0;;40.0;57.0;57.0;65.0;3162.0
cumul 2018-2019;0711078L;CIFA JEAN LAMELOISE;BOURGOGNE-FRANCHE-COMTE;BTS;22.0;71.0;42.0;47.0;71.0;71.0;67.0;3170.0
cumul 2018-2019;0711317W;CFA DES METIERS DE L'AUTOMOBILE;BOURGOGNE-FRANCHE-COMTE;CAP;47.0;65.0;18.0;23.0;74.0;71.0;75.0;3172.0
cumul 2018-2019;0750765Z;Centre de Formation d'apprentis - Bijouterie-Joaillerie de Paris;ILE-DE-FRANCE;Autres formations de niveau 4;13.0;65.0;;28.0;65.0;69.0;69.0;3189.0
cumul 2018-2019;0750768C;Centre de Formation d'apprentis - Charcuterie;ILE-DE-FRANCE;Autres formations de niveau 4;4.0;77.0;;38.0;68.0;72.0;68.0;3192.0
cumul 2018-2019;0751489L;Centre de Formation d'apprentis - Miroiterie;ILE-DE-FRANCE;BP;9.0;70.0;19.0;15.0;80.0;70.0;75.0;3196.0
cumul 2018-2019;0751510J;Centre de Formation d'apprentis - Alimentation et Hôtellerie;ILE-DE-FRANCE;BTS;28.0;64.0;41.0;48.0;68.0;69.0;76.0;3199.0
cumul 2018-2019;0752830U;Centre de Formation d'apprentis - Métiers de la table;ILE-DE-FRANCE;CAP;38.0;61.0;42.0;37.0;62.0;60.0;60.0;3205.0
cumul 2018-2019;0754458N;CFA Cerfal;ILE-DE-FRANCE;BAC;34.0;53.0;52.0;43.0;56.0;65.0;66.0;3210.0
cumul 2018-2019;0754497F;Centre de Formation d'apprentis - Université Pierre-et-Marie-Curie-Paris VI;ILE-DE-FRANCE;Autres formations de niveau 3;77.0;;;21.0;;;;3212.0
cumul 2018-2019;0754674Y;Centre de Formation d'apprentis - Expertise comptable;ILE-DE-FRANCE;BAC;38.0;45.0;;32.0;40.0;50.0;55.0;3213.0
cumul 2018-2019;0762403Z;Centre de formation d'apprentis IFA Marcel Sauvage;NORMANDIE;CAP;28.0;54.0;39.0;51.0;57.0;58.0;60.0;3225.0
cumul 2018-2019;0763094A;Centre de formation d'apprentis des maisons familiales et rurales;NORMANDIE;BTS;34.0;52.0;59.0;51.0;48.0;43.0;48.0;3232.0
cumul 2018-2019;0672056W;Centre de Formation d'apprentis du LP Jules Verne;GRAND EST;Autres formations de niveau 4;;;;;;;;3234.0
cumul 2019-2020;9741090S;CFA FORMA TERRA;LA REUNION;BP;6.0;14.0;;;27.0;23.0;30.0;3241.0
cumul 2019-2020;9741667U;Organisme de formation-Centre de formation d'apprentis Réussir Saint Pierre;LA REUNION;CAP;;;;;;;;3247.0
cumul 2019-2020;9741677E;Organisme de formation-Centre de formation d'aprentis Tétranergy  Saint Pierre;LA REUNION;Autres formations de niveau 5;;;;;;;;3249.0
