persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score,difficulte_type,difficulte_date,difficulte_source_url,risque_trop_tard
B,LA FORMATION (LA FORMATION),LA FORMATION,917521221,91752122100015,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/917521221,SAINT-DENIS,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/917521221,,inconnu,inconnu,,Yanis Brahmi,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 917521221),,50,Création 2022 (élargissement) | Hors IDF (974) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2022-12-31,https://annuaire-entreprises.data.gouv.fr/entreprise/917521221,élevé - entreprise fermée administrativement
B,M&S FORMATION,M&S FORMATION,919598094,91959809400010,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/919598094,MARSEILLE,13,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/919598094,,inconnu,inconnu,,Marouan Teleb,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 919598094),,50,Création 2022 (élargissement) | Hors IDF (13) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2025-04-17,https://annuaire-entreprises.data.gouv.fr/entreprise/919598094,élevé - entreprise fermée administrativement
B,MA FORMATION,MA FORMATION,914069273,91406927300011,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/914069273,DIJON,21,Bourgogne-Franche-Comté,https://annuaire-entreprises.data.gouv.fr/entreprise/914069273,,inconnu,inconnu,,Abdul Majhib,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 914069273),,50,Création 2022 (élargissement) | Hors IDF (21) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2024-01-04,https://annuaire-entreprises.data.gouv.fr/entreprise/914069273,élevé - entreprise fermée administrativement
B,HED FORMATIONS,HED FORMATIONS,909728255,90972825500029,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/909728255,LYON,69,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/909728255,,inconnu,inconnu,,Jules Maillet,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 909728255),,50,Création 2022 (élargissement) | Hors IDF (69) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2024-12-04,https://annuaire-entreprises.data.gouv.fr/entreprise/909728255,élevé - entreprise fermée administrativement
B,OUEST FORMATION,OUEST FORMATION,908240062,90824006200012,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/908240062,MATOURY,973,Guyane,https://annuaire-entreprises.data.gouv.fr/entreprise/908240062,,inconnu,inconnu,,Suzanna Penavere,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 908240062),,50,Création 2022 (élargissement) | Hors IDF (973) | Dirigeant identifié: Liquidateur,liquidation judiciaire (entreprise fermée),2023-08-31,https://annuaire-entreprises.data.gouv.fr/entreprise/908240062,élevé - entreprise fermée administrativement
B,COOKING FORMATION (COOKING FORMATION),COOKING FORMATION,911681914,91168191400014,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/911681914,CHEVINCOURT,60,Hauts-de-France,https://annuaire-entreprises.data.gouv.fr/entreprise/911681914,,inconnu,inconnu,,Bruno Bragance,"Liquidateur, Président de SAS",,,,API recherche-entreprises.api.gouv.fr (SIREN 911681914),,50,"Création 2022 (élargissement) | Hors IDF (60) | Dirigeant identifié: Liquidateur, Président de SAS",liquidation judiciaire (entreprise fermée),2024-12-31,https://annuaire-entreprises.data.gouv.fr/entreprise/911681914,élevé - entreprise fermée administrativement
B,MINDSET FORMATION,MINDSET FORMATION,912902277,91290227700017,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/912902277,ANDREZIEUX-BOUTHEON,42,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/912902277,,inconnu,inconnu,,Abdrahamane Traore,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 912902277),,50,Création 2022 (élargissement) | Hors IDF (42) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2025-12-03,https://annuaire-entreprises.data.gouv.fr/entreprise/912902277,élevé - entreprise fermée administrativement
B,WORKING FORMATION (WORKING FORMATION),WORKING FORMATION,912910437,91291043700017,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/912910437,LE ROVE,13,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/912910437,,inconnu,inconnu,,Xavier Aquilon,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 912910437),,50,Création 2022 (élargissement) | Hors IDF (13) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2024-10-27,https://annuaire-entreprises.data.gouv.fr/entreprise/912910437,élevé - entreprise fermée administrativement
B,JOS FORMATION,JOS FORMATION,913001061,91300106100013,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/913001061,NICE,06,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/913001061,,inconnu,inconnu,,Burak Celen,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 913001061),,50,Création 2022 (élargissement) | Hors IDF (06) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2024-01-05,https://annuaire-entreprises.data.gouv.fr/entreprise/913001061,élevé - entreprise fermée administrativement
B,ELITE FORMATION (ELITE FORMATION),ELITE FORMATION,920159654,92015965400010,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/920159654,GRENOBLE,38,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/920159654,,inconnu,inconnu,,Charafeddine Achiq,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 920159654),,50,Création 2022 (élargissement) | Hors IDF (38) | Dirigeant identifié: Liquidateur,liquidation judiciaire (entreprise fermée),2024-09-30,https://annuaire-entreprises.data.gouv.fr/entreprise/920159654,élevé - entreprise fermée administrativement
B,LMD FORMATIONS,LMD FORMATIONS,920609195,92060919500010,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/920609195,MONTBRUN-LAURAGAIS,31,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/920609195,,inconnu,inconnu,,Laurence Dupuy (malfaz),Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 920609195),,50,Création 2022 (élargissement) | Hors IDF (31) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2024-05-31,https://annuaire-entreprises.data.gouv.fr/entreprise/920609195,élevé - entreprise fermée administrativement
