Année;UAI;Libellé;Région;DEVENIR Part poursuite études;DEVENIR Part en emploi 6 mois;DEVENIR Part autre situation 6 mois;Part contrats apprentissage interrompus;Taux poursuite études;Taux emploi 6 mois;Taux emploi 6 mois attendu;VA emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois;num_ligne
cumul 2019-2020;0922379L;Organisme de formation-Centre de formation d'apprentis AGEFA PME Ile-de-France - Puteaux;ILE-DE-FRANCE;;;;;35.0;55.0;60.0;-5.0;56.0;63.0;68.0;1504.0
cumul 2019-2020;0932751K;Agence Nationale pour la Formation Professionnelle des Adultes - Entreprises;ILE-DE-FRANCE;;;;;24.0;60.0;56.0;4.0;58.0;60.0;64.0;1507.0
cumul 2019-2020;0951963T;Site de formation d'apprentis CMA95 - IMA Val Parisis - Eaubonne - Val d'Oise;ILE-DE-FRANCE;;;;;38.0;57.0;55.0;2.0;59.0;63.0;64.0;1516.0
cumul 2019-2020;9730446X;CENTRE FORMATION APPRENTIS PUBLIC LPO MELKIOR GARRE;GUYANE;;;;;22.0;40.0;51.0;-11.0;48.0;58.0;65.0;1526.0
cumul 2019-2020;9730469X;CFA DE LA CCI REG GUYANE;GUYANE;;;;;32.0;45.0;43.0;1.0;45.0;51.0;46.0;1527.0
cumul 2019-2020;0030126W;Centre de formation d'apprentis - Ecole des métiers du bâtiment;AUVERGNE-RHONE-ALPES;;;;;38.0;62.0;63.0;-2.0;65.0;70.0;77.0;1533.0
cumul 2019-2020;0080951R;Maison Familiale Rurale de Lucquy;GRAND EST;;;;;;;;;;;;1541.0
cumul 2019-2020;0134299C;ALTERNANCE EXXECC;PROVENCE-ALPES-COTE D'AZUR;;;;;;;;;;;;1556.0
cumul 2019-2020;0190807Z;CENTRE DE FORMATION D'APPRENTIS INCLUSIF NOUVELLE AQUITAINRE;NOUVELLE-AQUITAINE;;;;;38.0;;;;;;;1563.0
cumul 2019-2020;0212057X;CFA des MFR de Bourgogne;BOURGOGNE-FRANCHE-COMTE;;;;;26.0;69.0;67.0;2.0;72.0;70.0;78.0;1571.0
cumul 2019-2020;0221804S;CFA DE CAULNES;BRETAGNE;;;;;20.0;;;;;;;1573.0
cumul 2019-2020;0332197J;Organisme de formation-Centre de formation d'apprentis du bâtiment et des travaux publics de la Gironde;NOUVELLE-AQUITAINE;;;;;41.0;64.0;64.0;-1.0;70.0;69.0;74.0;1588.0
cumul 2019-2020;0333131Z;Organisme de formation - Centre de formation d'apprentis Multimétiers de la Haute Gironde;NOUVELLE-AQUITAINE;;;;;33.0;54.0;57.0;-3.0;62.0;54.0;54.0;1591.0
cumul 2019-2020;0342318K;Organisme de formation-Centre de formation d'apprentis de Purple Campus Pérols;OCCITANIE;;;;;31.0;54.0;56.0;-2.0;63.0;62.0;70.0;1595.0
cumul 2019-2020;0352492U;CFA agricole privé MFR Bretagne;BRETAGNE;;;;;27.0;68.0;62.0;6.0;75.0;77.0;74.0;1600.0
cumul 2019-2020;0352949R;OF - CFA Optima Vezin;BRETAGNE;;;;;;;;;;;;1602.0
cumul 2019-2020;0382432M;Maison Familiale Rurale La Grive Bourgoin-Jallieu;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1610.0
cumul 2019-2020;0421139K;Organisme de formation-Centre de formation d'apprentis BTP Loire-Michel Cluzel ST ETIENNE;AUVERGNE-RHONE-ALPES;;;;;39.0;70.0;68.0;2.0;78.0;73.0;76.0;1619.0
cumul 2019-2020;0421609W;Organisme de formation-Centre de formation d'apprentis Du Roannais MABLY;AUVERGNE-RHONE-ALPES;;;;;47.0;69.0;66.0;3.0;74.0;74.0;78.0;1620.0
cumul 2019-2020;0450807H;Organisme de formation-Centre de formation d'apprentis de ORLEANS METROPOLE - Orléans;CENTRE-VAL DE LOIRE;;;;;23.0;57.0;54.0;3.0;61.0;64.0;68.0;1628.0
cumul 2019-2020;0490985E;Organisme de formation-Centre de formation d'apprentis de la CCI Maine-et-Loire - Centre Pierre Cointreau Angers;PAYS DE LA LOIRE;;;;;37.0;69.0;66.0;3.0;74.0;76.0;81.0;1633.0
cumul 2019-2020;0492298G;école technique supérieure de chimie de l'ouest - Lycée des métiers de la chimie, de l'eau et des procédés;PAYS DE LA LOIRE;;;;;;;;;;;;1634.0
cumul 2019-2020;0501249L;Organisme de formation-Centre de formation d'apprentis du batiment Paul Bocage de Coutances;NORMANDIE;;;;;44.0;68.0;65.0;3.0;71.0;70.0;77.0;1635.0
cumul 2019-2020;0541898V;Organisme de formation-Centre de formation d'apprentis des Métiers du Batiment de Pont-à-Mousson;GRAND EST;;;;;39.0;56.0;64.0;-8.0;63.0;63.0;67.0;1641.0
cumul 2019-2020;0542389D;Organisme de formation-Centre de formation d'apprentis de la restauration de Meurthe-et-Moselle à Nancy;GRAND EST;;;;;32.0;53.0;52.0;1.0;61.0;64.0;69.0;1645.0
cumul 2019-2020;0560808Z;CFA de la Ville de Lorient;BRETAGNE;;;;;27.0;62.0;66.0;-4.0;66.0;69.0;75.0;1653.0
cumul 2019-2020;0561783J;CFA CCI Formation Morbihan;BRETAGNE;;;;;2.0;61.0;69.0;-8.0;73.0;78.0;88.0;1654.0
cumul 2019-2020;0610770F;Organisme de formation-Centre de formation d'apprentis du batîment Roger Ducre d'Alençon;NORMANDIE;;;;;48.0;71.0;70.0;2.0;74.0;72.0;80.0;1664.0
cumul 2019-2020;0623751R;CFA public agricole du Pas de Calais - siège de TILLOY LES MOFFLAINES;HAUTS-DE-FRANCE;;;;;38.0;53.0;60.0;-7.0;69.0;74.0;84.0;1668.0
cumul 2019-2020;0631929E;Centre de formation d'apprentis des industries agro-alimentaires d'Auvergne;AUVERGNE-RHONE-ALPES;;;;;52.0;;;;;;;1671.0
cumul 2019-2020;0672958B;Centre de formation d'apprentis transport et logistique;GRAND EST;;;;;22.0;65.0;71.0;-7.0;58.0;77.0;84.0;1679.0
cumul 2019-2020;0673145E;Orgaly France;GRAND EST;;;;;;;;;;;;1681.0
cumul 2019-2020;0693764S;AKTEAP;AUVERGNE-RHONE-ALPES;;;;;25.0;62.0;63.0;-1.0;70.0;67.0;70.0;1688.0
cumul 2019-2020;0693936D;Organisme de formation-Centre de formation d'apprentis Association Distribution Produits Electriques Grand Public VENISSIEUX;AUVERGNE-RHONE-ALPES;;;;;15.0;72.0;68.0;4.0;76.0;74.0;76.0;1690.0
cumul 2019-2020;0740290N;Organisme de formation-Centre de formation d'apprentis de coiffure Gabriel Fauré-Annecy;AUVERGNE-RHONE-ALPES;;;;;42.0;70.0;66.0;4.0;72.0;72.0;74.0;1697.0
cumul 2019-2020;0755432X;Centre de Formation d'apprentis - INSTA;ILE-DE-FRANCE;;;;;44.0;59.0;59.0;0.0;61.0;63.0;63.0;1707.0
cumul 2019-2020;0756000P;Webitech Paris - Nextgroup;ILE-DE-FRANCE;;;;;;;;;;;;1711.0
cumul 2019-2020;0783593G;Organisme de formation-Centre de formation d'apprentis ACADEMIE V3A;ILE-DE-FRANCE;;;;;36.0;54.0;58.0;-3.0;59.0;60.0;65.0;1722.0
cumul 2019-2020;0811036L;Maison Familiale Rurale de Peyregoux;OCCITANIE;;;;;;;;;;;;1726.0
cumul 2019-2020;0831377W;CFA Régional des Métiers et de l'Artisanat Campus des Arcs sur Argens;PROVENCE-ALPES-COTE D'AZUR;;;;;30.0;51.0;51.0;0.0;65.0;58.0;68.0;1729.0
cumul 2019-2020;0831608X;CFA Régional des Métiers et de l'Artisanat Campus de La Seyne sur Mer - IPFM;PROVENCE-ALPES-COTE D'AZUR;;;;;31.0;55.0;56.0;-1.0;62.0;63.0;67.0;1730.0
cumul 2019-2020;0851537J;Organisme de formation-Centre de formation d'apprentis de l'enseignement catholique de vendée - La Roche sur Yon;PAYS DE LA LOIRE;;;;;47.0;67.0;67.0;0.0;72.0;79.0;83.0;1734.0
cumul 2019-2020;0861231W;Organisme de formation - Centre de formation d'apprentis AFTRAL 86;NOUVELLE-AQUITAINE;;;;;21.0;70.0;69.0;2.0;79.0;77.0;86.0;1735.0
cumul 2019-2020;0861360L;Organisme de formation - Centre de formation d'apprentis Isaac de l'Etoile;NOUVELLE-AQUITAINE;;;;;26.0;73.0;71.0;2.0;73.0;76.0;79.0;1737.0
cumul 2019-2020;0912119J;Organisme de formation-Centre de formation d'apprentis Evry Val d'Essonne - Evry-Courcouronnes;ILE-DE-FRANCE;;;;;56.0;57.0;60.0;-3.0;65.0;61.0;68.0;1744.0
cumul 2019-2020;0932343S;CFA CAMAS;ILE-DE-FRANCE;;;;;10.0;45.0;57.0;-12.0;47.0;54.0;67.0;1751.0
cumul 2019-2020;9720490A;OF-CFA CHAMBRE DES METIERS;MARTINIQUE;;;;;19.0;42.0;50.0;-8.0;44.0;44.0;47.0;1760.0
cumul 2019-2020;9730142S;CFA chambre des métiers de GUYANE;GUYANE;;;;;14.0;35.0;33.0;2.0;37.0;40.0;45.0;1761.0
cumul 2019-2020;9741570N;Centre de formation d'apprentis  Enseignement catholique de la Reunion;LA REUNION;;;;;42.0;51.0;40.0;11.0;51.0;58.0;57.0;1765.0
cumul 2019-2020;0121358L;Centre de formation des apprentis agricole de l'Aveyron   EPLA de Villefranche de Rouergue;OCCITANIE;;;;;27.0;57.0;63.0;-6.0;62.0;61.0;64.0;1777.0
cumul 2019-2020;0131775J;CFA BOURSE DU TRAVAIL;PROVENCE-ALPES-COTE D'AZUR;;;;;26.0;47.0;50.0;-3.0;52.0;55.0;61.0;1778.0
cumul 2019-2020;0134295Y;FDM GROUPE;PROVENCE-ALPES-COTE D'AZUR;;;;;;;;;;;;1783.0
cumul 2019-2020;0230553B;CFA de la Creuse;NOUVELLE-AQUITAINE;;;;;28.0;50.0;56.0;-6.0;58.0;59.0;55.0;1790.0
cumul 2019-2020;0241099P;CFA de la Dordogne;NOUVELLE-AQUITAINE;;;;;28.0;62.0;57.0;5.0;63.0;66.0;70.0;1792.0
cumul 2019-2020;0251824X;CFA des MFR de France-Comté;BOURGOGNE-FRANCHE-COMTE;;;;;31.0;;;;;;;1794.0
cumul 2019-2020;0251962X;CFA Sup FC;BOURGOGNE-FRANCHE-COMTE;;;;;63.0;;;;;;;1795.0
cumul 2019-2020;0281041E;CFA de l'Eure et Loir;CENTRE-VAL DE LOIRE;;;;;31.0;62.0;59.0;3.0;69.0;63.0;72.0;1799.0
cumul 2019-2020;0301435X;CFA du Gard;OCCITANIE;;;;;38.0;50.0;58.0;-8.0;61.0;52.0;59.0;1801.0
cumul 2019-2020;0312755B;Organisme de formation - Centre de formation d'apprentis MIDISUP;OCCITANIE;;;;;50.0;;;;;;;1809.0
cumul 2019-2020;0352382Z;AFTEC Rennes;BRETAGNE;;;;;;;;;;;;1822.0
cumul 2019-2020;0382433N;Maison Familiale Rurale d'Eyzin-Pinet;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1825.0
cumul 2019-2020;0382908E;Maison Familiale Rurale de Vignieu;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1827.0
cumul 2019-2020;0400898J;CFA des Landes;NOUVELLE-AQUITAINE;;;;;29.0;57.0;59.0;-1.0;62.0;60.0;71.0;1831.0
cumul 2019-2020;0460654L;Centre de formation des apprentis du Lot;OCCITANIE;;;;;34.0;38.0;50.0;-12.0;43.0;43.0;57.0;1841.0
cumul 2019-2020;0470834B;GRETA Est Aquitaine Lycée professionnel Val de Garonne;NOUVELLE-AQUITAINE;;;;;23.0;50.0;62.0;-12.0;65.0;70.0;70.0;1842.0
cumul 2019-2020;0471035V;Centre de formation d'apprentis du LP Porte du Lot;NOUVELLE-AQUITAINE;;;;;30.0;74.0;66.0;8.0;81.0;69.0;74.0;1843.0
cumul 2019-2020;0480677A;CFA de Marvejols;OCCITANIE;;;;;15.0;;;;;;;1844.0
cumul 2019-2020;0492219W;Organisme de formation-Centre de formation d'apprentis de l'association ouvrière des compagnons du devoir des pays de la loire - Angers;PAYS DE LA LOIRE;;;;;44.0;79.0;67.0;12.0;79.0;79.0;80.0;1846.0
cumul 2019-2020;0501929A;CFA AFASEC Graignes;NORMANDIE;;;;;20.0;86.0;74.0;12.0;86.0;82.0;86.0;1851.0
cumul 2019-2020;0511733G;Maison Familiale Rurale d'Auve;GRAND EST;;;;;;;;;;;;1852.0
cumul 2019-2020;0511845D;Centre de Formation d'Apprentis Santé et Sciences de la Vie;GRAND EST;;;;;25.0;77.0;74.0;3.0;79.0;76.0;78.0;1854.0
cumul 2019-2020;0512117Z;Centre de Formation d'Apprentis Commerce et Distribution-AFPAM (Association pour la Formation Profes et l'Apprentissage des Métiers du Commerce);GRAND EST;;;;;23.0;58.0;65.0;-7.0;68.0;78.0;69.0;1855.0
cumul 2019-2020;0520939N;Maison Familiale Rurale de Buxières-lès-Villiers;GRAND EST;;;;;;;;;;;;1856.0
cumul 2019-2020;0542463J;Organisme de formation-Centre de formation d'apprentis de l'association régionale d'éducation permanente Lorraine de Nancy;GRAND EST;;;;;27.0;72.0;71.0;1.0;74.0;81.0;81.0;1860.0
cumul 2019-2020;0573680R;Centre d'Etudes des Sciences de l'Entreprise;GRAND EST;;;;;;;;;;;;1867.0
cumul 2019-2020;0593371U;CFA du CIA (Centre Intertextile d'Apprentissage) - GAFIT (Groupement d'Apprentissage et de Formation de l'Industrie Textile);HAUTS-DE-FRANCE;;;;;;;;;;;;1869.0
cumul 2019-2020;0632075N;Organisme de formation-Centre de Formation d'Apprentis d'Alternance Auvergne, Clermont-Ferrand;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1879.0
cumul 2019-2020;0681816E;Centre de formation d'apprentis universitaire Alsace;GRAND EST;;;;;74.0;64.0;64.0;0.0;63.0;69.0;73.0;1891.0
cumul 2019-2020;0693067J;Maison Familiale Rurale La Palma - Arbresle;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1897.0
cumul 2019-2020;0693306U;Organisme de formation-Centre de formation d'apprentis IGS LYON;AUVERGNE-RHONE-ALPES;;;;;26.0;71.0;67.0;4.0;71.0;75.0;77.0;1898.0
cumul 2019-2020;0693703A;Organisme de formation-Centre de formation d'apprentis Ecole supérieure de la banque LYON;AUVERGNE-RHONE-ALPES;;;;;57.0;70.0;69.0;1.0;65.0;80.0;70.0;1900.0
cumul 2019-2020;0694047Z;Centre de Formation d'Apprentis de l'Académie de Lyon;AUVERGNE-RHONE-ALPES;;;;;24.0;57.0;59.0;-2.0;58.0;64.0;68.0;1901.0
cumul 2019-2020;0694089V;Ecole tech sup privée AFIP Formations;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1902.0
cumul 2019-2020;0741322K;Greta Lac;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1911.0
cumul 2019-2020;0761819P;Bâtiment CFA Rouen - espace Lanfry;NORMANDIE;;;;;45.0;63.0;64.0;-1.0;68.0;67.0;73.0;1921.0
cumul 2019-2020;0763090W;Centre de Formation Continue et par Alternance de l'Université de Rouen Normandie;NORMANDIE;;;;;63.0;73.0;67.0;6.0;73.0;77.0;81.0;1924.0
cumul 2019-2020;0771654E;CFA du Bâtiment et des Travaux Publics;ILE-DE-FRANCE;;;;;36.0;59.0;63.0;-3.0;62.0;64.0;73.0;1928.0
cumul 2019-2020;0772547A;CFA des Compagnons du Tour de France IDF;ILE-DE-FRANCE;;;;;50.0;72.0;69.0;4.0;73.0;73.0;74.0;1930.0
cumul 2019-2020;0922791J;Site de formation d'apprentis - l'Ecole supérieure de la banque - Puteaux;ILE-DE-FRANCE;;;;;46.0;59.0;60.0;0.0;59.0;67.0;67.0;1957.0
cumul 2019-2020;0932330C;CFA de la Librairie et de la Papeterie de Détail;ILE-DE-FRANCE;;;;;7.0;64.0;64.0;0.0;70.0;72.0;74.0;1959.0
cumul 2019-2020;0932331D;CFA Métiers de la Communication et de Création Numérique;ILE-DE-FRANCE;;;;;41.0;;;;;;;1960.0
cumul 2019-2020;0942024P;OF CFA AFASEC GROS BOIS;ILE-DE-FRANCE;;;;;11.0;74.0;66.0;8.0;74.0;72.0;66.0;1964.0
cumul 2019-2020;0942217Z;CFA INFA;ILE-DE-FRANCE;;;;;13.0;38.0;39.0;-1.0;37.0;39.0;46.0;1966.0
cumul 2019-2020;6200723S;Section d'apprentissage privée Institut Consulaire Ajaccio;CORSE;;;;;18.0;48.0;60.0;-12.0;65.0;58.0;74.0;1968.0
cumul 2019-2020;7200675W;Centre de formation d'apprentis Haute Corse Furiani;CORSE;;;;;35.0;46.0;55.0;-8.0;53.0;54.0;61.0;1969.0
cumul 2019-2020;7200730F;Centre de formation d'apprentis Université de Corse;CORSE;;;;;61.0;50.0;61.0;-11.0;61.0;56.0;56.0;1971.0
cumul 2019-2020;9741177L;Urma Centre de Formation du Port;LA REUNION;;;;;15.0;49.0;49.0;0.0;56.0;60.0;63.0;1973.0
cumul 2019-2020;9741677E;Organisme de formation-Centre de formation d'aprentis Tétranergy  Saint Pierre;LA REUNION;;;;;;;;;;;;1974.0
cumul 2020-2021;0694179T;Centre de formation continue Bâtiment Travaux Publics FORMA BTP;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1975.0
cumul 2020-2021;0681710P;Centre de Formation d'apprentis de l'artisanat;GRAND EST;49.0;30.0;21.0;;49.0;59.0;65.0;-6.0;64.0;66.0;66.0;1982.0
cumul 2020-2021;0031131N;Organisme de formation-Centre de formation d'apprentis d'IMCS SARL Gestion Formation Conseil Auvergne, Vichy;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1985.0
cumul 2020-2021;0341983W;Organisme de formation-Centre de formation d'apprentis de FORMAPOSTE Méditerranée, Montpellier;OCCITANIE;19.0;39.0;42.0;;19.0;48.0;59.0;-11.0;56.0;60.0;67.0;1997.0
cumul 2019-2020;0212197Z;CFA SUP BOURGOGNE;BOURGOGNE-FRANCHE-COMTE;;;;;52.0;81.0;69.0;12.0;77.0;83.0;77.0;1189.0
cumul 2019-2020;0221072W;CFA CMA Bretagne - Campus de Ploufragan;BRETAGNE;;;;;41.0;65.0;65.0;0.0;73.0;71.0;77.0;1191.0
cumul 2019-2020;0221835A;CFA Pôle de Formation UIMM Bretagne;BRETAGNE;;;;;29.0;77.0;73.0;4.0;81.0;80.0;83.0;1192.0
cumul 2019-2020;0241056T;Organisme de formation- Centre de formation d'apprentis Ecoles CCI de la Dordogne;NOUVELLE-AQUITAINE;;;;;34.0;51.0;58.0;-7.0;64.0;60.0;72.0;1194.0
cumul 2019-2020;0271177H;Bâtiment CFA Evreux;NORMANDIE;;;;;50.0;62.0;67.0;-5.0;66.0;70.0;74.0;1204.0
cumul 2019-2020;0301365W;Greta du Gard;OCCITANIE;;;;;;;;;;;;1209.0
cumul 2019-2020;0312331R;CFA Toulouse Auzeville;OCCITANIE;;;;;20.0;61.0;58.0;3.0;67.0;73.0;76.0;1214.0
cumul 2019-2020;0333114F;Organisme de formation-Centre de formation d'apprentis Formaposte Midi Atlantique;NOUVELLE-AQUITAINE;;;;;14.0;65.0;67.0;-2.0;66.0;77.0;80.0;1219.0
cumul 2019-2020;0351002Z;CFA Bâtiment 35;BRETAGNE;;;;;46.0;69.0;71.0;-2.0;73.0;76.0;80.0;1228.0
cumul 2019-2020;0391038S;CFA de Montmorot;BOURGOGNE-FRANCHE-COMTE;;;;;37.0;;;;;;;1235.0
cumul 2019-2020;0411066L;Organisme de formation-Centre de formation d'apprentis des métiers du champ social, médico-social et sanitaire - Blois;CENTRE-VAL DE LOIRE;;;;;13.0;63.0;57.0;6.0;62.0;68.0;66.0;1236.0
cumul 2019-2020;0441969B;Centre de Formation d'Apprentis Maisons Familiales Rurales;PAYS DE LA LOIRE;;;;;36.0;73.0;62.0;11.0;75.0;74.0;80.0;1240.0
cumul 2019-2020;0442274H;Site de formation d'apprentis de l'Ecole supérieure de la banque - Nantes;PAYS DE LA LOIRE;;;;;;;;;;;;1241.0
cumul 2019-2020;0623105N;CFA Municipal de la Ville de CALAIS - Lycée du Détroit CALAIS;HAUTS-DE-FRANCE;;;;;42.0;31.0;43.0;-12.0;43.0;43.0;47.0;1284.0
cumul 2019-2020;0624367K;CFA du LP Maritime de Boulogne-sur-Mer / LE PORTEL;HAUTS-DE-FRANCE;;;;;;;;;;;;1286.0
cumul 2019-2020;0631819K;Centre de Formation d'Apprentis Spécialisé CAP 3A;AUVERGNE-RHONE-ALPES;;;;;36.0;45.0;48.0;-4.0;46.0;48.0;57.0;1287.0
cumul 2019-2020;0631977G;Centre de Formation d'Apprentis de l'Education Nationale;AUVERGNE-RHONE-ALPES;;;;;30.0;64.0;66.0;-2.0;72.0;72.0;73.0;1288.0
cumul 2019-2020;0671755U;Centre de Formation d'apprentis du lycée Emile Mathis;GRAND EST;;;;;31.0;71.0;72.0;-2.0;72.0;71.0;73.0;1294.0
cumul 2019-2020;0672064E;Centre de Formation d'apprentis du Lycée Stanislas;GRAND EST;;;;;47.0;60.0;72.0;-12.0;72.0;70.0;70.0;1295.0
cumul 2019-2020;0031067U;centre form prof promo agricoles de moulins;AUVERGNE-RHONE-ALPES;;;;;26.0;53.0;61.0;-8.0;60.0;64.0;66.0;1305.0
cumul 2019-2020;0150668V;Maison Familiale Rurale Crouzit Haut de Mauriac;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1328.0
cumul 2019-2020;0171591M;CFA de Surgères;NOUVELLE-AQUITAINE;;;;;41.0;79.0;68.0;11.0;79.0;79.0;85.0;1334.0
cumul 2019-2020;0211578B;Maison Familiale Rurale d'Agencourt;BOURGOGNE-FRANCHE-COMTE;;;;;;;;;;;;1337.0
cumul 2019-2020;0320542R;Organisme de formation - Centre de formation d'apprentis Chambre des métiers du Gers;OCCITANIE;;;;;42.0;68.0;65.0;3.0;74.0;76.0;76.0;1356.0
cumul 2019-2020;0333200Z;Organisme de formation-Centre de formation d'apprentis groupement professionnel de formation de l'hospitalisation privée Nouvelle Aquitaine (GPFHP);NOUVELLE-AQUITAINE;;;;;1.0;74.0;62.0;12.0;76.0;77.0;80.0;1362.0
cumul 2019-2020;0763093Z;Centre de formation d'apprentis opérateur - IFP Training;NORMANDIE;;;;;1.0;87.0;75.0;12.0;97.0;95.0;96.0;1474.0
cumul 2019-2020;0772319C;CFA du Bâtiment et Travaux Publics;ILE-DE-FRANCE;;;;;38.0;54.0;66.0;-12.0;61.0;57.0;66.0;1477.0
cumul 2019-2020;0772890Y;CFA COGEFI Formation SA;ILE-DE-FRANCE;;;;;;;;;;;;1481.0
cumul 2019-2020;0831375U;CFA Régional des Métiers et de l'Artisanat Campus de Saint- Maximin-la-Sainte-Baume;PROVENCE-ALPES-COTE D'AZUR;;;;;34.0;55.0;57.0;-2.0;64.0;58.0;63.0;1489.0
cumul 2019-2020;0860841X;Site de formation d'apprentis du Campus des Métiers de la Vienne;NOUVELLE-AQUITAINE;;;;;46.0;67.0;65.0;2.0;73.0;73.0;77.0;1492.0
cumul 2021-2022;0791189N;Centre de formation continue Les Formations du Marais;NOUVELLE-AQUITAINE;40.0;43.0;17.0;;40.0;72.0;66.0;6.0;72.0;78.0;82.0;5011.0
cumul 2021-2022;0602144E;Organisme de formation-Centre de formation d'apprentis AMESA;HAUTS-DE-FRANCE;48.0;37.0;15.0;;48.0;70.0;64.0;5.0;67.0;74.0;70.0;5021.0
cumul 2021-2022;0240051A;Organisme de formation-Centre de formation d'apprentis du bâtiment et des travaux publics de la Dordogne;NOUVELLE-AQUITAINE;44.0;39.0;17.0;;44.0;69.0;70.0;-1.0;77.0;71.0;81.0;5027.0
cumul 2021-2022;0100975F;Greta Sud Champagne;GRAND EST;26.0;42.0;32.0;;26.0;56.0;66.0;-10.0;66.0;68.0;68.0;5033.0
cumul 2021-2022;0754969U;UFA GOBELINS - Site Paris-Saint-Marcel - CFA CCI Paris Ile-de-France;ILE-DE-FRANCE;46.0;22.0;32.0;;46.0;41.0;53.0;-12.0;51.0;59.0;57.0;5036.0
cumul 2021-2022;0763505X;Association Sportive Rouen Université Club Mont-Saint-Aignan;NORMANDIE;16.0;65.0;19.0;;16.0;77.0;65.0;12.0;71.0;79.0;75.0;5038.0
cumul 2021-2022;0382433N;Maison Familiale Rurale d'Eyzin-Pinet;AUVERGNE-RHONE-ALPES;41.0;46.0;13.0;;41.0;77.0;70.0;7.0;84.0;82.0;85.0;5045.0
cumul 2021-2022;0694383P;Organisme de formation-Centre de formation d apprentis Scribtel Formation Lyon;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;5055.0
cumul 2021-2022;0490986F;Site de formation d'apprentis de l'URMA Maine-et-Loire - Angers;PAYS DE LA LOIRE;54.0;33.0;13.0;;54.0;71.0;74.0;-3.0;80.0;76.0;79.0;5061.0
cumul 2021-2022;0631686R;Maison Familiale Rurale de Gelles;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;5062.0
cumul 2021-2022;0851223T;Maison Familiale Rurale de La Mothe-Achard;PAYS DE LA LOIRE;;;;;;;;;;;;5063.0
cumul 2021-2022;0851253A;Maison Familiale Rurale de Saint-Florent-des-Bois;PAYS DE LA LOIRE;33.0;58.0;9.0;;33.0;86.0;78.0;8.0;86.0;77.0;77.0;5068.0
cumul 2021-2022;0383426T;Organisme de formation-Centre de formation d'apprentis de Sports et Animations-Vienne;AUVERGNE-RHONE-ALPES;;;;;34.0;;;;;;;5070.0
cumul 2021-2022;0542416H;Organisme de formation-Centre de formation d'apprentis Art regional du verre de Vannes-le-Chatel;GRAND EST;;;;;26.0;;;;;;;5072.0
cumul 2021-2022;0134088Y;Greta-CFA Marseille Méditerranée;PROVENCE-ALPES-COTE D'AZUR;25.0;44.0;31.0;;25.0;59.0;61.0;-3.0;61.0;58.0;62.0;5077.0
cumul 2021-2022;0756092P;Organisme de formation-Centre de formation d'apprentis OFI One;ILE-DE-FRANCE;;;;;;;;;;;;5096.0
cumul 2021-2022;0382650Z;Greta de Grenoble;AUVERGNE-RHONE-ALPES;34.0;47.0;19.0;;34.0;71.0;69.0;2.0;69.0;72.0;76.0;5111.0
cumul 2021-2022;0430844J;INSTITUT DE FORMATION PROFESSIONNELLE 43;AUVERGNE-RHONE-ALPES;46.0;39.0;15.0;;46.0;72.0;71.0;1.0;77.0;74.0;82.0;5112.0
cumul 2021-2022;0672772Z;Institut européen de formation Pôle Tertiaire;GRAND EST;39.0;43.0;18.0;;39.0;70.0;70.0;0.0;68.0;71.0;71.0;5113.0
cumul 2021-2022;0783751D;Organisme de formation-Centre de formation d'apprentis ALYDRINE;ILE-DE-FRANCE;20.0;43.0;37.0;;20.0;54.0;58.0;-4.0;67.0;59.0;56.0;5122.0
cumul 2021-2022;0811371A;ORGANISME DE FORMATION - CENTRE DE FORMATION D APPRENTIS Couzi formation;OCCITANIE;;;;;;;;;;;;5123.0
cumul 2021-2022;9741570N;Centre de formation d'apprentis  Enseignement catholique de la Reunion;LA REUNION;60.0;22.0;18.0;;60.0;55.0;62.0;-7.0;55.0;70.0;70.0;5125.0
cumul 2021-2022;0640176U;Institut du travail social Pierre Bourdieu;NOUVELLE-AQUITAINE;;;;;;;;;;;;5129.0
cumul 2021-2022;0673151L;Quality Formation;GRAND EST;55.0;32.0;13.0;;55.0;71.0;70.0;1.0;67.0;67.0;67.0;5131.0
cumul 2021-2022;0922888P;Organisme de formation-Centre de formation d'apprentis - GIE CFA des Chefs;ILE-DE-FRANCE;25.0;41.0;34.0;;25.0;54.0;59.0;-4.0;62.0;58.0;61.0;5137.0
cumul 2021-2022;0441827X;Maison Familiale Rurale de Legé;PAYS DE LA LOIRE;23.0;59.0;18.0;;23.0;;;;;;;5140.0
cumul 2021-2022;0142443E;Organisme de formation-Centre de formation d'apprentis LJN  CAEN;NORMANDIE;100.0;0.0;0.0;;100.0;;;;;;;5148.0
